"NAME" "INCHKEY" "SMILES" "RT"
"1" "(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid" "ILGMGHZPXRDCCS-UHFFFAOYSA-N" "C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O" 2.019083
"2" "1,1-Dimethyl-4-phenylpiperazinium" "WVHNHHJEHFWYHH-UHFFFAOYSA-N" "CC1C(NC(CN1)C2=CC=CC=C2)C" 2.60795
"3" "1,2-Cyclohexanediol" "PFURGBBHAOXLIO-OLQVQODUSA-N" "C1CC[C@@H]([C@@H](C1)O)O" 4.87655
"4" "1,2-Cyclohexanedione" "OILAIQUEIWYQPH-UHFFFAOYSA-N" "C1CCC(=O)C(=O)C1" 5.772267
"5" "1,3,7-Trimethyluric acid" "BYXCFUMGEBZDDI-UHFFFAOYSA-N" "CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C" 1.827733
"6" "1,3 Cyclohexanedione" "HJSLFCCWAKVHIW-UHFFFAOYSA-N" "C1CC(=O)CC(=O)C1" 1.473133
"7" "1,4-Cyclohexanedicarboxylic acid" "PXGZQGDTEZPERC-UHFFFAOYSA-N" "C1CC(CCC1C(=O)O)C(=O)O" 1.560217
"8" "1,4-Cyclohexanedione" "DCZFGQYXRKMVFG-UHFFFAOYSA-N" "C1CC(=O)CCC1=O" 1.1517
"9" "1,7-Dimethyluric acid" "NOFNCLGCUJJPKU-UHFFFAOYSA-N" "CN1C2=C(NC1=O)NC(=O)N(C2=O)C" 4.090533
"10" "1-Acetylimidazole" "VIHYIVKEECZGOU-UHFFFAOYSA-N" "CC(=O)N1C=CN=C1" 1.368133
"11" "1-Benzylimidazole" "KKKDZZRICRFGSD-UHFFFAOYSA-N" "C1=CC=C(C=C1)CN2C=CN=C2" 1.632483
"12" "1-Methyladenosine" "GFYLSDSUCHVORB-IOSLPCCCSA-N" "CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O" 7.272133
"13" "1-Methylguanosine" "UTAIYTHAJQNQDW-KQYNXXCUSA-N" "CN1C(=O)C2=C(N=C1N)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O" 5.658267
"14" "1-Methylnicotinamide" "LDHMAVIPBRSVRG-UHFFFAOYSA-O" "C[N+]1=CC=CC(=C1)C(=O)N" 6.166283
"15" "1-Methylpseudouridine" "UVBYMVOUBXYSFV-XUTVFYLZSA-N" "CN1C=C(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O" 4.985567
"16" "1-Methyltryptophan" "ZADWXFSZEAPBJS-JTQLQIEISA-N" "CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N" 6.3788
